CreditGrade,Term,LoanStatus,ListingCreationDate,BorrowerAPR,BorrowerRate,ProsperScore,ListingCategory,BorrowerState,Occupation,EmploymentStatus,IsBorrowerHomeowner,DebtToIncomeRatio,StatedMonthlyIncome,OnTimeProsperPayments,Recommendations,LoanOriginalAmount,MonthlyLoanPayment,CreditScoreAvg
C,36,Completed,2007-08-20 23:17:43.310,0.16727,0.1601,5.950066585742402,Not Available,WA,Computer Programmer,Full-time,True,0.16,7083.333333,22.271949286846276,0,13400,471.17,669.5
A,36,Completed,2008-03-11 15:31:20.480,0.10235,0.0885,5.950066585742402,Debt Consolidation,CA,Professional,Part-time,False,0.1,2500.0,22.271949286846276,0,2000,12.97,749.5
B,36,Completed,2008-01-20 05:58:31.303,0.15428,0.14,5.950066585742402,Personal Loan,GA,Military Officer,Full-time,True,0.31,6250.0,22.271949286846276,0,4000,136.71,709.5
AA,36,Completed,2008-09-02 13:09:30.613,0.13223,0.1252,5.950066585742402,Business,NJ,Sales - Retail,Full-time,False,0.19,2293.333333,22.271949286846276,0,12000,401.56,789.5
HR,36,Chargedoff,2008-03-13 12:04:51.623,0.29743,0.2745,5.950066585742402,Debt Consolidation,CA,Administrative Assistant,Full-time,False,0.17,2946.666667,13.0,0,2551,104.76,529.5
HR,36,Defaulted,2006-11-05 12:48:42.960,0.18824000000000002,0.17,5.950066585742402,Not Available,FL,Other,Not available,True,0.03,2916.666667,22.271949286846276,0,1000,35.65,509.5
A,36,Completed,2008-09-11 03:34:20.130,0.20623000000000002,0.1915,5.950066585742402,Debt Consolidation,SC,Other,Part-time,False,0.27594660400633886,833.333333,22.271949286846276,0,12500,459.15,749.5
B,36,Completed,2008-03-07 14:46:59.620,0.13012,0.124,5.950066585742402,Home Improvement,MO,Military Enlisted,Full-time,True,0.34,4161.916667,22.271949286846276,0,8600,287.29,689.5
C,36,Completed,2008-06-23 10:23:19.637,0.21679,0.1945,5.950066585742402,Business,CT,Sales - Commission,Full-time,False,0.11,3333.333333,22.271949286846276,0,3000,108.52,669.5
B,36,Chargedoff,2008-04-12 07:33:07.707,0.15882000000000002,0.1445,5.950066585742402,Other,AZ,Analyst,Full-time,True,0.11,4750.0,22.271949286846276,0,2500,85.99,709.5
B,36,Completed,2008-08-27 19:10:29.600,0.18454,0.17,5.950066585742402,Debt Consolidation,PA,Professional,Full-time,True,0.15,8500.0,22.271949286846276,0,5500,196.09,689.5
HR,36,Completed,2007-06-18 05:31:07.360,0.16435999999999998,0.15,5.950066585742402,Not Available,IL,Other,Full-time,False,0.1,4958.333333,22.271949286846276,1,2000,69.33,529.5
AA,36,Completed,2007-03-22 11:42:31.423,0.10642,0.0995,5.950066585742402,Not Available,WA,Skilled Labor,Full-time,True,0.19,3616.083333,22.271949286846276,0,15000,483.66,789.5
HR,36,Defaulted,2006-11-16 00:31:16.370,0.2659,0.25,5.950066585742402,Not Available,MO,Military Enlisted,Not available,False,0.49,200.0,22.271949286846276,0,1200,47.71,489.5
C,36,Completed,2007-10-18 11:43:03.710,0.19835,0.18,5.950066585742402,Not Available,MN,Other,Retired,False,0.58,1000.0,22.271949286846276,0,1000,36.15,649.5
D,36,Defaulted,2006-10-27 08:42:58.807,0.30781,0.3,5.950066585742402,Not Available,CA,Analyst,Not available,False,0.41,3750.0,22.271949286846276,0,10000,424.52,609.5
B,36,Completed,2007-08-30 20:56:07.907,0.15713,0.15,5.950066585742402,Not Available,CA,Other,Self-employed,False,0.14,6666.666667,2.0,0,20000,693.31,689.5
C,36,Completed,2007-07-10 03:51:12.743,0.16607,0.1589,5.950066585742402,Not Available,GA,Analyst,Full-time,True,0.23,5438.333333,22.271949286846276,1,8000,280.82,649.5
AA,36,Defaulted,2007-02-26 10:25:18.177,0.16184,0.1499,5.950066585742402,Not Available,AZ,Sales - Commission,Full-time,True,0.32,3166.666667,22.271949286846276,0,1500,51.99,789.5
C,36,Defaulted,2006-12-21 23:33:22.780,0.18725999999999998,0.18,5.950066585742402,Not Available,GA,Realtor,Not available,True,0.18,7500.0,22.271949286846276,0,9999,361.49,669.5
E,36,Defaulted,2006-12-04 08:18:38.707,0.29775999999999997,0.29,5.950066585742402,Not Available,GA,Food Service,Not available,False,0.08,1666.666667,22.271949286846276,0,3001,125.76,549.5
E,36,Defaulted,2007-03-30 12:12:04.140,0.30564,0.29,5.950066585742402,Not Available,TX,Police Officer/Correction Officer,Full-time,False,0.13,3744.333333,22.271949286846276,0,4000,167.62,589.5
AA,36,Defaulted,2007-12-06 20:01:37.313,0.1272,0.1202,5.950066585742402,Personal Loan,CA,Pharmacist,Full-time,True,0.15,12083.333333,22.271949286846276,0,25000,830.6,789.5
D,36,Completed,2007-02-28 10:45:44.153,0.11749000000000001,0.1,5.950066585742402,Not Available,NY,Other,Full-time,True,10.01,0.083333,22.271949286846276,0,1000,32.27,609.5
E,36,Completed,2008-07-06 11:49:51.040,0.37453000000000003,0.35,5.950066585742402,Other,NJ,Administrative Assistant,Full-time,False,0.18,2702.916667,18.0,0,1100,47.66,569.5
HR,36,Chargedoff,2007-01-20 05:52:54.930,0.29775999999999997,0.29,5.950066585742402,Not Available,GA,Teacher,Not available,False,0.22,2750.0,22.271949286846276,0,3001,125.76,489.5
B,36,Defaulted,2006-10-26 21:24:37.090,0.16647,0.1593,5.950066585742402,Not Available,IL,Other,Not available,True,0.25,4583.333333,22.271949286846276,0,17500,614.64,709.5
HR,36,Chargedoff,2006-12-09 16:15:23.210,0.29925,0.29,5.950066585742402,Not Available,MO,Clerical,Not available,False,0.09,2116.666667,22.271949286846276,0,2100,88.0,529.5
D,36,Completed,2008-06-09 18:50:07.263,0.16460999999999998,0.143,5.950066585742402,Debt Consolidation,VA,Administrative Assistant,Full-time,False,0.39,1500.0,22.271949286846276,0,7000,238.86,629.5
C,36,Completed,2008-02-04 00:10:59.960,0.15650999999999998,0.135,5.950066585742402,Debt Consolidation,CO,Sales - Retail,Full-time,False,0.26,1583.333333,22.271949286846276,0,1000,33.94,649.5
A,36,Completed,2008-08-19 02:24:04.430,0.10336,0.0895,5.950066585742402,Home Improvement,OH,Other,Full-time,True,0.19,4833.333333,22.271949286846276,0,6000,190.66,749.5
C,36,Completed,2007-10-18 18:24:17.333,0.1911,0.182,5.950066585742402,Not Available,MN,Food Service Management,Full-time,False,0.13,3333.333333,22.271949286846276,0,2000,72.51,649.5
C,36,Completed,2007-12-10 09:39:03.747,0.24753000000000003,0.24,5.950066585742402,Home Improvement,MI,Computer Programmer,Full-time,True,0.25,6166.666667,22.271949286846276,0,4000,156.93,649.5
HR,36,Completed,2007-06-19 16:55:21.600,0.30271,0.29,5.950066585742402,Not Available,CA,Other,Full-time,False,0.23,3333.333333,22.271949286846276,1,4600,192.77,549.5
C,36,Completed,2007-05-15 18:18:29.483,0.24753000000000003,0.24,5.950066585742402,Not Available,MI,Clerical,Full-time,True,0.73,1916.6666670000002,22.271949286846276,0,17000,666.96,669.5
D,36,Chargedoff,2007-03-24 07:49:58.530,0.20735,0.2,5.950066585742402,Not Available,CO,Landscaping,Full-time,False,0.49,2166.666667,22.271949286846276,0,5500,204.4,629.5
A,36,Completed,2007-11-28 09:40:07.810,0.13202,0.125,5.950066585742402,Not Available,CA,Executive,Full-time,True,0.2,10000.0,22.271949286846276,0,25000,836.34,729.5
C,36,Defaulted,2008-08-20 14:16:52.930,0.14942,0.128,5.950066585742402,Business,CO,Construction,Full-time,True,0.39,3500.0,22.271949286846276,0,7300,245.26,649.5
B,36,Chargedoff,2008-07-25 07:50:24.223,0.13410999999999998,0.12,5.950066585742402,Student Use,WI,Laborer,Full-time,False,0.1,1655.833333,22.271949286846276,0,3600,119.57,689.5
B,36,Chargedoff,2008-07-02 10:32:23.160,0.15377000000000002,0.1395,5.950066585742402,Home Improvement,NY,Executive,Self-employed,True,0.27594660400633886,3333.333333,22.271949286846276,0,4000,136.61,689.5
HR,36,Defaulted,2006-11-22 06:07:39.093,0.17904,0.17,5.950066585742402,Not Available,FL,Professional,Not available,False,0.31,3283.333333,22.271949286846276,0,2000,71.31,489.5
B,36,Completed,2007-07-26 16:39:51.513,0.127,0.12,5.950066585742402,Not Available,IL,Tradesman - Carpenter,Full-time,False,0.15,5488.166667,22.271949286846276,0,10000,332.14,689.5
E,36,Completed,2007-05-05 19:41:47.850,0.30168,0.29,5.950066585742402,Not Available,CA,Other,Full-time,False,0.54,2500.0,22.271949286846276,0,5000,209.53,589.5
HR,36,Chargedoff,2008-09-06 20:47:10.867,0.37351999999999996,0.349,5.950066585742402,Debt Consolidation,AR,Administrative Assistant,Full-time,True,0.13,3750.0,22.271949286846276,0,2000,90.36,529.5
AA,36,Completed,2008-02-26 08:53:15.823,0.08991,0.0868,5.950066585742402,Personal Loan,TX,Other,Full-time,True,0.14,5200.0,22.271949286846276,0,5500,172.31,789.5
B,36,Completed,2008-06-23 05:38:33.120,0.1215,0.1075,5.950066585742402,Auto,GA,Retail Management,Full-time,True,0.1,4217.666667,22.271949286846276,0,2000,17.04,709.5
B,36,Completed,2008-05-08 10:20:26.410,0.14974,0.1355,5.950066585742402,Debt Consolidation,GA,Accountant/CPA,Full-time,True,0.37,2363.333333,22.271949286846276,0,10000,287.06,709.5
E,36,Chargedoff,2006-07-08 15:30:26.510,0.25506,0.2475,5.950066585742402,Not Available,WA,Sales - Commission,Not available,True,0.24,6917.0,22.271949286846276,0,3500,138.7,589.5
E,36,Completed,2008-04-17 06:10:43.373,0.30704000000000004,0.2835,5.950066585742402,Personal Loan,MI,Sales - Retail,Full-time,False,0.49,1583.333333,22.271949286846276,0,1545,0.0,569.5
C,36,Completed,2007-04-25 19:19:24.050,0.20735,0.2,5.950066585742402,Not Available,IL,Sales - Retail,Full-time,False,1.65,1083.333333,22.271949286846276,0,16000,594.62,669.5
E,36,Chargedoff,2008-08-28 14:13:26.207,0.37453000000000003,0.35,5.950066585742402,Debt Consolidation,CA,Food Service,Full-time,False,0.34,1900.0,22.271949286846276,0,1000,45.24,569.5
HR,36,Defaulted,2007-01-19 17:36:39.063,0.25801999999999997,0.239,5.950066585742402,Not Available,ID,Skilled Labor,Not available,False,0.07,3541.666667,22.271949286846276,0,1000,39.18,469.5
D,36,Chargedoff,2008-07-23 21:09:47.293,0.37453000000000003,0.35,5.950066585742402,Debt Consolidation,MI,Postal Service,Full-time,True,0.27594660400633886,3333.333333,22.271949286846276,0,3800,171.9,609.5
D,36,Chargedoff,2007-01-08 17:29:03.203,0.17722000000000002,0.17,5.950066585742402,Not Available,FL,Other,Not available,True,0.11,2500.0,22.271949286846276,0,5500,196.09,629.5
A,36,Completed,2008-04-09 13:21:55.287,0.13410999999999998,0.12,5.950066585742402,Debt Consolidation,MI,Professional,Full-time,True,0.27,6833.333333,22.271949286846276,0,10000,329.89,749.5
B,36,Completed,2007-04-08 19:56:28.080,0.10912999999999999,0.1022,5.950066585742402,Not Available,NC,Teacher,Full-time,True,0.21,4500.0,22.271949286846276,0,4800,137.61,709.5
B,36,Chargedoff,2007-08-07 16:34:01.640,0.14197,0.1349,5.950066585742402,Not Available,OH,Tradesman - Plumber,Full-time,True,0.07,3541.666667,22.271949286846276,0,5000,169.65,709.5
AA,36,Completed,2008-08-31 20:19:33.923,0.15512,0.148,5.950066585742402,Other,WI,Other,Self-employed,True,0.27594660400633886,5000.0,22.271949286846276,0,5000,172.84,769.5
E,36,Defaulted,2007-07-05 07:41:05.603,0.25517,0.24,5.950066585742402,Not Available,WA,Administrative Assistant,Full-time,False,0.3,3988.0,22.271949286846276,0,1500,58.85,569.5
B,36,Completed,2008-09-14 10:07:05.953,0.2148,0.2,5.950066585742402,Other,DC,Executive,Full-time,False,0.1,8500.0,22.271949286846276,0,15000,557.45,689.5
HR,36,Defaulted,2006-12-13 16:18:03.820,0.11696,0.11,5.950066585742402,Not Available,VA,Bus Driver,Not available,False,0.43,1166.666667,22.271949286846276,0,2500,81.85,489.5
AA,36,Completed,2007-12-12 19:42:00.897,0.09677999999999999,0.0899,5.950066585742402,Debt Consolidation,MN,Teacher,Full-time,True,0.36,3219.833333,22.271949286846276,0,8000,254.36,769.5
D,36,Completed,2007-10-18 08:07:36.977,0.26761999999999997,0.26,5.950066585742402,Not Available,IL,Other,Full-time,False,0.29,1333.333333,22.271949286846276,2,7000,282.03,629.5
A,36,Completed,2007-11-28 22:15:18.317,0.13202,0.125,5.950066585742402,Not Available,NJ,Computer Programmer,Full-time,False,0.16,8333.333333,22.271949286846276,1,16000,462.43,729.5
E,36,Completed,2008-01-18 15:07:50.917,0.24264000000000002,0.22,5.950066585742402,Personal Loan,IL,Other,Full-time,False,0.17,5865.0,8.0,0,1000,38.19,569.5
AA,36,Chargedoff,2008-06-10 23:21:11.103,0.15934,0.1522,5.950066585742402,Business,CA,Executive,Full-time,True,0.15,10958.333333,22.271949286846276,0,25000,869.33,849.5
A,36,Completed,2008-05-02 13:38:13.217,0.12382,0.1098,5.950066585742402,Debt Consolidation,CA,Student - College Senior,Part-time,False,0.51,666.666667,22.271949286846276,0,2100,68.73,749.5
AA,36,Completed,2008-09-22 12:13:00.897,0.23748000000000002,0.23,5.950066585742402,Business,VA,Principal,Self-employed,True,0.27594660400633886,9166.666667,22.271949286846276,0,18000,696.77,849.5
AA,36,Completed,2008-08-30 15:17:30.877,0.08001,0.0629,5.950066585742402,Other,OK,Other,Self-employed,False,0.27594660400633886,4166.666667,22.271949286846276,0,1000,30.55,769.5
A,36,Completed,2007-11-29 16:15:27.480,0.1019,0.095,5.950066585742402,Not Available,CA,Sales - Commission,Full-time,False,0.2,2166.666667,13.0,0,3750,120.12,749.5
A,36,Completed,2007-10-17 09:49:06.373,0.13694,0.1299,5.950066585742402,Not Available,FL,Computer Programmer,Full-time,False,0.3,4416.666667,22.271949286846276,0,20000,673.78,749.5
C,36,Completed,2008-04-14 07:04:05.540,0.12562,0.1045,5.950066585742402,Business,CO,Other,Full-time,False,0.09,8416.666667,22.271949286846276,0,4800,155.9,669.5
C,36,Chargedoff,2007-01-06 07:53:07.157,0.29775999999999997,0.29,5.950066585742402,Not Available,GA,Professional,Not available,True,0.11,5269.333333,22.271949286846276,0,10000,419.06,649.5
B,36,Chargedoff,2008-08-31 09:20:06.190,0.1921,0.1775,5.950066585742402,Debt Consolidation,NY,Teacher,Full-time,False,0.26,7666.666667,22.271949286846276,0,20000,720.54,689.5
C,36,Completed,2008-03-22 02:31:54.603,0.37453000000000003,0.35,5.950066585742402,Debt Consolidation,CA,Waiter/Waitress,Part-time,False,0.95,1625.0,22.271949286846276,0,6000,264.92,669.5
D,36,Chargedoff,2008-05-28 10:18:19.957,0.2325,0.21,5.950066585742402,Debt Consolidation,OR,Administrative Assistant,Full-time,False,0.23,2666.666667,22.271949286846276,1,1000,37.68,609.5
AA,36,Completed,2007-04-22 12:44:10.050,0.08935,0.0825,5.950066585742402,Not Available,NY,Analyst,Full-time,False,0.02,8000.0,22.271949286846276,0,5000,157.26,769.5
E,36,Chargedoff,2008-03-31 19:19:16.597,0.24376,0.2211,5.950066585742402,Debt Consolidation,MT,Skilled Labor,Full-time,False,0.22,2083.333333,22.271949286846276,0,2500,95.62,569.5
C,36,Defaulted,2008-05-08 18:37:44.037,0.17322,0.1515,5.950066585742402,Debt Consolidation,IL,Other,Full-time,False,0.13,2500.0,22.271949286846276,0,7000,243.17,649.5
HR,36,Defaulted,2006-08-08 19:04:32.300,0.15713,0.15,5.950066585742402,Not Available,NC,Other,Not available,False,0.13,4166.666667,22.271949286846276,0,3035,105.21,509.5
C,36,Completed,2007-04-18 23:34:24.330,0.18725999999999998,0.18,5.950066585742402,Not Available,CA,Other,Retired,True,0.06,4250.0,22.271949286846276,0,2700,33.94,669.5
A,36,Completed,2006-10-27 15:39:19.857,0.11194000000000001,0.105,5.950066585742402,Not Available,IN,Other,Not available,False,0.15,1916.6666670000002,22.271949286846276,0,5000,162.51,729.5
C,36,Completed,2007-11-14 19:33:38.060,0.1742,0.167,5.950066585742402,Not Available,MI,Doctor,Full-time,True,0.16,30166.666667,9.0,0,5000,177.52,649.5
AA,36,Completed,2007-12-19 12:41:51.517,0.1265,0.1195,5.950066585742402,Business,TX,Accountant/CPA,Part-time,False,0.69,792.666667,22.271949286846276,0,5000,165.95,789.5
B,36,Completed,2008-05-02 20:53:06.250,0.15629,0.142,5.950066585742402,Personal Loan,OR,Engineer - Electrical,Full-time,True,0.27,10500.0,22.271949286846276,0,5000,168.64,689.5
HR,36,Defaulted,2006-12-26 01:04:33.120,0.24658000000000002,0.2355,5.950066585742402,Not Available,WA,Other,Not available,False,0.03,2583.333333,22.271949286846276,0,1700,66.29,509.5
C,36,Completed,2007-10-17 14:05:34.433,0.1973,0.19,5.950066585742402,Not Available,MO,Other,Full-time,True,0.12,3166.666667,22.271949286846276,0,3500,128.3,669.5
E,36,Chargedoff,2007-11-13 04:47:44.663,0.23983000000000002,0.2248,5.950066585742402,Not Available,OH,Other,Full-time,True,0.56,4583.333333,22.271949286846276,0,2500,96.1,589.5
B,36,Completed,2008-06-21 21:19:19.890,0.18524000000000002,0.1707,5.950066585742402,Debt Consolidation,UT,Other,Full-time,True,0.15,5000.0,22.271949286846276,0,7200,256.95,689.5
AA,36,Completed,2006-12-10 15:23:07.267,0.08433,0.0775,5.950066585742402,Not Available,CA,Analyst,Not available,False,0.04,3766.666667,22.271949286846276,0,3000,93.66,809.5
B,36,Completed,2007-10-26 10:00:18.403,0.10692,0.1,5.950066585742402,Not Available,OH,Computer Programmer,Full-time,False,0.06,3250.0,22.271949286846276,1,3000,96.8,709.5
D,36,Chargedoff,2008-10-05 07:18:38.757,0.37453000000000003,0.35,5.950066585742402,Other,FL,Analyst,Full-time,True,0.03,4419.75,22.271949286846276,0,2800,126.66,609.5
B,36,Defaulted,2008-01-21 08:17:45.730,0.15428,0.14,5.950066585742402,Business,VT,Executive,Full-time,False,0.46,2389.833333,22.271949286846276,0,4000,136.71,689.5
AA,36,Completed,2007-04-16 17:44:06.780,0.10505,0.0935,5.950066585742402,Not Available,NC,Homemaker,Retired,False,10.01,0.083333,22.271949286846276,0,1500,47.94,809.5
A,36,Defaulted,2007-03-15 21:44:15.090,0.11696,0.11,5.950066585742402,Not Available,CT,Professional,Full-time,True,0.3,8333.333333,22.271949286846276,2,9000,294.65,729.5
D,36,Completed,2008-04-05 13:39:53.270,0.24218,0.22,5.950066585742402,Debt Consolidation,CA,Retail Management,Full-time,True,0.28,2916.666667,6.0,0,2551,59.96,609.5
D,36,Defaulted,2007-02-27 16:22:54.237,0.19228,0.185,5.950066585742402,Not Available,CA,Professional,Full-time,False,0.46,4000.0,22.271949286846276,0,2550,92.83,609.5
AA,36,Completed,2008-03-05 08:07:54.990,0.10390999999999999,0.097,5.950066585742402,Home Improvement,MN,Analyst,Self-employed,True,0.07,7000.0,22.271949286846276,0,10000,318.18,789.5
D,36,Chargedoff,2008-09-03 12:27:06.283,0.202,0.1799,5.950066585742402,Other,WA,Truck Driver,Full-time,False,0.15,2000.0,22.271949286846276,0,3000,108.44,609.5
D,36,Completed,2008-08-14 09:03:32.567,0.37453000000000003,0.35,5.950066585742402,Debt Consolidation,NV,Tradesman - Mechanic,Full-time,False,0.36,5250.0,22.271949286846276,0,3000,134.59,609.5
B,36,Completed,2008-04-25 08:34:27.597,0.12270999999999999,0.1087,5.950066585742402,Debt Consolidation,WA,Other,Full-time,False,0.12,3583.333333,22.271949286846276,0,2500,80.62,709.5
E,36,Completed,2008-03-25 08:47:38.703,0.2,0.2,5.950066585742402,Debt Consolidation,DC,Other,Full-time,False,0.28,2916.666667,22.271949286846276,0,1500,21.43,589.5
B,36,Completed,2007-04-02 08:13:29.197,0.13705,0.13,5.950066585742402,Not Available,IL,Other,Full-time,False,0.29,3666.666667,22.271949286846276,1,10000,331.09,689.5
D,36,Completed,2008-05-26 12:07:12.830,0.17677,0.155,5.950066585742402,Other,NH,Sales - Retail,Part-time,False,0.12,1333.333333,22.271949286846276,0,1000,34.91,629.5
A,36,Completed,2008-06-25 20:14:45.807,0.10032999999999999,0.0865,5.950066585742402,Other,CA,Computer Programmer,Full-time,False,0.05,5100.0,22.271949286846276,0,3400,107.57,729.5
B,36,Completed,2008-05-24 08:07:46.273,0.18454,0.17,5.950066585742402,Debt Consolidation,NJ,Professional,Full-time,True,0.25,8166.666667,22.271949286846276,0,15000,531.34,689.5
B,36,Chargedoff,2008-01-06 09:09:23.017,0.15428,0.14,5.950066585742402,Debt Consolidation,GA,Fireman,Full-time,True,0.49,5833.333333,22.271949286846276,0,20000,683.55,689.5
B,36,Completed,2007-07-25 08:11:06.317,0.15713,0.15,5.950066585742402,Not Available,IN,Student - College Graduate Student,Full-time,False,0.37,2426.083333,22.271949286846276,2,18500,630.37,689.5
C,36,Defaulted,2007-01-11 20:49:10.827,0.17722000000000002,0.17,5.950066585742402,Not Available,FL,Accountant/CPA,Not available,False,0.14,5416.666667,22.271949286846276,0,15000,534.79,649.5
C,36,Completed,2007-08-19 18:25:53.147,0.20835,0.201,5.950066585742402,Not Available,AL,Other,Full-time,True,0.19,3833.333333,22.271949286846276,1,6000,223.29,669.5
B,36,Chargedoff,2007-05-24 22:46:07.290,0.15161,0.1445,5.950066585742402,Not Available,CA,Realtor,Full-time,True,0.12,31666.666667,22.271949286846276,0,25000,859.91,709.5
C,36,Chargedoff,2008-05-31 21:29:18.470,0.32378,0.3,5.950066585742402,Debt Consolidation,AZ,Accountant/CPA,Full-time,False,0.26,3500.0,22.271949286846276,0,7200,305.65,649.5
D,36,Completed,2008-06-07 17:57:55.217,0.16460999999999998,0.143,5.950066585742402,Debt Consolidation,CA,Other,Full-time,False,0.14,2416.666667,22.271949286846276,0,7500,257.43,629.5
AA,36,Completed,2008-03-09 11:58:13.133,0.08182,0.075,5.950066585742402,Debt Consolidation,MN,Analyst,Full-time,True,0.07,10833.333333,22.271949286846276,0,9500,293.03,809.5
HR,36,Completed,2006-09-28 19:47:11.470,0.29775999999999997,0.29,5.950066585742402,Not Available,UT,Police Officer/Correction Officer,Not available,False,0.27,6166.666667,22.271949286846276,0,7000,293.34,509.5
A,36,Defaulted,2007-07-19 18:29:04.147,0.10582000000000001,0.0989,5.950066585742402,Not Available,GA,Tradesman - Mechanic,Full-time,True,0.22,2500.0,22.271949286846276,0,4000,128.86,749.5
HR,36,Completed,2007-02-04 10:37:02.507,0.23748000000000002,0.23,5.950066585742402,Not Available,AZ,Other,Not available,False,0.1,2333.333333,22.271949286846276,0,3000,116.13,529.5
D,36,Defaulted,2007-06-07 11:59:54.850,0.22995,0.2225,5.950066585742402,Not Available,ME,Other,Full-time,False,0.27,2833.333333,22.271949286846276,0,4000,0.0,609.5
B,36,Completed,2008-04-28 16:17:15.740,0.14974,0.1355,5.950066585742402,Debt Consolidation,PA,Architect,Full-time,False,0.35,3250.0,22.271949286846276,1,10000,337.77,709.5
C,36,Completed,2008-06-05 08:52:36.873,0.12562,0.1045,5.950066585742402,Personal Loan,AL,Other,Full-time,False,0.03,2333.333333,22.271949286846276,0,2000,45.97,669.5
C,36,Completed,2008-04-24 12:57:41.427,0.12562,0.1045,5.950066585742402,Personal Loan,VA,Computer Programmer,Full-time,False,0.21,4416.666667,22.271949286846276,0,7400,240.34,649.5
D,36,Chargedoff,2007-08-12 18:10:17.637,0.24753000000000003,0.24,5.950066585742402,Not Available,MO,Tradesman - Plumber,Full-time,False,0.41,2289.583333,22.271949286846276,0,4000,156.93,629.5
B,36,Completed,2007-09-11 09:00:59.483,0.127,0.12,5.950066585742402,Not Available,MT,Other,Full-time,False,0.03,4291.666667,22.271949286846276,1,3500,116.25,689.5
C,36,Completed,2007-01-21 16:56:43.730,0.17219,0.165,5.950066585742402,Not Available,CA,Sales - Commission,Not available,True,0.37,7083.333333,22.271949286846276,0,10000,354.04,649.5
B,36,Completed,2008-03-22 03:25:58.510,0.13209,0.118,5.950066585742402,Personal Loan,AL,Student - College Senior,Part-time,False,0.3,1250.0,22.271949286846276,0,3500,115.92,709.5
AA,36,Completed,2008-04-08 16:19:26.823,0.10490999999999999,0.098,5.950066585742402,Debt Consolidation,GA,Other,Full-time,True,0.27594660400633886,0.0,22.271949286846276,0,3500,112.61,829.5
C,36,Completed,2008-04-06 00:06:46.820,0.15863,0.1371,5.950066585742402,Business,IL,Clerical,Full-time,False,0.24,2211.166667,6.0,0,1800,33.86,649.5
D,36,Chargedoff,2008-07-28 11:34:27.640,0.37453000000000003,0.35,5.950066585742402,Other,NY,Civil Service,Full-time,False,0.05,3333.333333,22.271949286846276,0,3000,135.71,609.5
E,36,Completed,2008-04-24 16:42:57.920,0.07045,0.05,5.950066585742402,Personal Loan,FL,Teacher,Full-time,False,0.2,3166.666667,22.271949286846276,0,1000,0.0,589.5
B,36,Completed,2008-09-14 13:41:52.210,0.14620999999999998,0.132,5.950066585742402,Other,FL,Nurse (RN),Full-time,True,0.36,3433.333333,11.0,0,10000,337.9,709.5
B,36,Completed,2008-03-03 11:25:13.360,0.12201,0.108,5.950066585742402,Debt Consolidation,FL,Other,Full-time,True,0.17,6711.0,13.0,0,2500,61.21,689.5
